ticker,index_ticker,comment
600482.SS,000001.SS,"China Shipbuilding Industry Group Power Co.,Ltd"
601098.SS,000001.SS,China South Publishing & Media Group Co Ltd
600029.SS,000001.SS,China Southern Airlines Co Ltd
600118.SS,000001.SS,China Spacesat Co Ltd
600158.SS,000001.SS,"China Sports Industry Group Co.,Ltd."
601668.SS,000001.SS,China State Construction Engineering Co Ltd
600088.SS,000001.SS,China Television Media Ltd
600050.SS,000001.SS,China United Network Communications Co Ltd
600358.SS,000001.SS,China United Travel Co Ltd
603005.SS,000001.SS,"China Wafer Level CSP Co., Ltd."
600007.SS,000001.SS,China World Trade Center Co Ltd
601179.SS,000001.SS,China XD Electric Co Ltd
600900.SS,000001.SS,China Yangtze Power Co Ltd
601916.SS,000001.SS,"CHINA ZHESHANG BANK CO.,LTD"
601512.SS,000001.SS,"China-Singapore Suzhou Industrial Park Development Group Co., Ltd."
600373.SS,000001.SS,Chinese Universe Publishing And Media Co Ltd
600132.SS,000001.SS,Chongqing Brewery Co Ltd
603100.SS,000001.SS,"CHONGQING CHUANYIAUTOMATION CO.,LTD."
600939.SS,000001.SS,"Chongqing Construction Engineering Group Co., Ltd."
600729.SS,000001.SS,Chongqing Department Store Co Ltd
600565.SS,000001.SS,Chongqing Dima Industry Co Ltd
600452.SS,000001.SS,Chongqing Fuling Electric Power Industrial Co Ltd
600279.SS,000001.SS,Chongqing Gangjiu Co Ltd
600917.SS,000001.SS,Chongqing Gas Group Corporation Ltd.
601005.SS,000001.SS,Chongqing Iron & Steel Co Ltd
603758.SS,000001.SS,Chongqing Qin'an M&E PLC.
600106.SS,000001.SS,Chongqing Road & Bridge Co Ltd
601077.SS,000001.SS,"Chongqing Rural Commercial Bank Co., Ltd."
601127.SS,000001.SS,"Chongqing Sokon Industry Group Co.,Ltd"
600129.SS,000001.SS,Chongqing Taiji Industry (Group) Co Ltd
600116.SS,000001.SS,Chongqing Three Gorges Water Conservancy and Electric Power Co Ltd
600847.SS,000001.SS,"Chongqing Wanli New Energy Co., Ltd."
601158.SS,000001.SS,Chongqing Water Group Co Ltd
603601.SS,000001.SS,"Chongqing Zaisheng Technology Co.,Ltd."
603976.SS,000001.SS,"ChongQing Zhengchuan Pharmaceutical Packaging Co., Ltd."
603996.SS,000001.SS,"CHUNGHSIN TECHNOLOGY GROUP CO., LTD."
603083.SS,000001.SS,"CIG ShangHai CO., LTD."
600657.SS,000001.SS,"Cinda Real Estate Co.,Ltd."
603367.SS,000001.SS,"CISEN PHARMACEUTICAL CO., LTD."
600084.SS,000001.SS,"CITIC Guoan Wine Co.,Ltd"
601608.SS,000001.SS,"CITIC HEAVY INDUSTRIES CO., LTD."
600030.SS,000001.SS,CITIC Securities Co Ltd
600067.SS,000001.SS,Citychamp Dartong Co Ltd
603628.SS,000001.SS,"CLENERGY (XIAMEN) TECHNOLOGY CO.,LTD"
