ticker,index_ticker,comment
DTE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DUK,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DVA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DVN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DXC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EBAY,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ECL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ED,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EFX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EIX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EMN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EMR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EOG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EQIX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EQR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ES,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ESS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ETFC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ETN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ETR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EVRG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EXC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EXPD,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EXPE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
EXR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
F,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FANG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FAST,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FBHS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FCX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FDX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
