model-1601030665,1601030666.275,0.53,0.2492,0.56,0.2492
model-1601030665,1601030666.296,0.51,0.2499,0.57,0.2494
model-1601030665,1601030666.316,0.64,0.2489,0.59,0.249
model-1601030665,1601030666.337,0.58,0.2498,0.61,0.2489
model-1601030665,1601030666.357,0.63,0.2482,0.61,0.2487
model-1601030665,1601030666.38,0.56,0.2493,0.55,0.2489
model-1601030665,1601030666.4,0.63,0.248,0.49,0.2495
model-1601030665,1601030666.42,0.46,0.2504,0.49,0.2494
model-1601030665,1601030666.44,0.6,0.246,0.56,0.2482
model-1601030665,1601030666.461,0.56,0.2478,0.64,0.2465
model-1601030665,1601030666.483,0.57,0.2473,0.53,0.2449
model-1601030665,1601030666.504,0.58,0.2458,0.55,0.244
model-1601030665,1601030666.524,0.5,0.2481,0.58,0.2434
model-1601030665,1601030666.544,0.59,0.2439,0.59,0.2425
model-1601030665,1601030666.565,0.52,0.2492,0.58,0.2415
model-1601030665,1601030666.587,0.62,0.2417,0.59,0.2402
model-1601030665,1601030666.607,0.58,0.2352,0.56,0.2376
model-1601030665,1601030666.628,0.63,0.2346,0.58,0.2369
model-1601030665,1601030666.648,0.51,0.2578,0.58,0.2351
model-1601030665,1601030666.669,0.5,0.2495,0.57,0.2439
model-1601030665,1601030666.691,0.69,0.2289,0.5,0.2546
model-1601030665,1601030666.712,0.56,0.2383,0.57,0.2477
model-1601030665,1601030666.732,0.51,0.2516,0.61,0.239
model-1601030665,1601030666.753,0.54,0.2398,0.57,0.2326
model-1601030665,1601030666.773,0.6,0.2328,0.54,0.2403
model-1601030665,1601030666.796,0.48,0.2688,0.53,0.2417
model-1601030665,1601030666.816,0.53,0.2712,0.58,0.2344
model-1601030665,1601030666.837,0.61,0.236,0.55,0.2337
model-1601030665,1601030666.857,0.61,0.2398,0.61,0.2349
model-1601030665,1601030666.878,0.58,0.2383,0.58,0.2394
model-1601030665,1601030666.9,0.62,0.2337,0.58,0.2408
model-1601030665,1601030666.92,0.57,0.2425,0.58,0.2397
model-1601030665,1601030666.941,0.48,0.2564,0.64,0.2373
model-1601030665,1601030666.961,0.51,0.2479,0.54,0.2371
model-1601030665,1601030666.982,0.5,0.249,0.52,0.2386
model-1601030665,1601030667.004,0.55,0.2517,0.5,0.239
model-1601030665,1601030667.025,0.48,0.2531,0.55,0.2393
model-1601030665,1601030667.045,0.6,0.2394,0.59,0.2398
model-1601030665,1601030667.065,0.6,0.2405,0.54,0.2405
model-1601030665,1601030667.086,0.58,0.2406,0.56,0.2413
